Name,OriginalSourceSections,Parent,Zone,Classification,Verified,Indexable,Sitemap,AliasOf,PageURL,Reason
Chandanagar,MIYAPUR | HAFEEZPET | CHANDANAGAR | LINGAMPALLY | AMEENPUR,,west,Published,true,true,true,,https://turbofix.in/locations/chandanagar,Live page — verified and indexable.
Chandrayangutta,OLD CITY / CHANDRAYANGUTTA | OLD CITY / BARKAS | OLD CITY / KANCHANBAGH,,south,Published,true,true,true,,https://turbofix.in/locations/chandrayangutta,Live page — verified and indexable.
Charminar,OLD CITY / CHARMINAR | OLD CITY / SHAHALIBANDA | OLD CITY / MOGHALPURA | OLD CITY / HUSSAINI ALAM,,south,Published,true,true,true,,https://turbofix.in/locations/charminar,Live page — verified and indexable.
Chengicherla,BODUPPAL | PEERZADIGUDA,,north,Published,true,true,true,,https://turbofix.in/locations/chengicherla,Live page — verified and indexable.
Cherlapally,ECIL | KAPRA | EAST / NORTH-EAST / KEESARA | EAST / NORTH-EAST / DAMMAIGUDA | EAST / NORTH-EAST / NAGARAM | EAST / NORTH-EAST / RAMPALLY | ADDITIONAL LOCALITIES,,north,Published,true,true,true,,https://turbofix.in/locations/cherlapally,Live page — verified and indexable. Multiple spellings seen in the supplied list: Cherlapally / Charlapally.
Chikkadpally,BATCH 13 — MISSING MASTER-LIST ADDITIONS,,central,Published,true,true,true,,https://turbofix.in/locations/chikkadpally,Live page — verified and indexable.
Chilkalguda,SECUNDERABAD / NORTH,,north,Published,true,true,true,,https://turbofix.in/locations/chilkalguda,Live page — verified and indexable.
Chilkanagar,UPPAL | NACHARAM,,north,Published,true,true,true,,https://turbofix.in/locations/chilkanagar,Live page — verified and indexable.
Chintal,ADDITIONAL LOCALITIES,,west,Published,true,true,true,,https://turbofix.in/locations/chintal,Live page — verified and indexable.
Chintalkunta,LB NAGAR / EAST / SOUTH-EAST | VANASTHALIPURAM | HASTHINAPURAM | CHINTALKUNTA,,east,Published,true,true,true,,https://turbofix.in/locations/chintalkunta,Live page — verified and indexable.
Czech Colony,SANATH NAGAR,,central,Published,true,true,true,,https://turbofix.in/locations/czech-colony,Live page — verified and indexable.
Dabeerpura,OLD CITY / CHARMINAR | OLD CITY / MALAKPET | OLD CITY / DABEERPURA | OLD CITY / YAKUTPURA | OLD CITY / REIN BAZAAR | OLD CITY / CHANCHALGUDA | OLD CITY / MADANNAPET,,south,Published,true,true,true,,https://turbofix.in/locations/dabeerpura,Live page — verified and indexable.
Dabilpur,MEDCHAL,,north,Published,true,true,true,,https://turbofix.in/locations/dabilpur,Live page — verified and indexable.
Dammaiguda,EAST / NORTH-EAST / KEESARA | EAST / NORTH-EAST / DAMMAIGUDA | EAST / NORTH-EAST / NAGARAM | EAST / NORTH-EAST / RAMPALLY | EAST / NORTH-EAST / JAWAHAR NAGAR,,outskirts,Published,true,true,true,,https://turbofix.in/locations/dammaiguda,Live page — verified and indexable.
Darulshifa,OLD CITY / CHARMINAR | OLD CITY / DABEERPURA | OLD CITY / YAKUTPURA,,south,Published,true,true,true,,https://turbofix.in/locations/darulshifa,Live page — verified and indexable.
Darussalam,NAMPALLY,,central,Published,true,true,true,,https://turbofix.in/locations/darussalam,Live page — verified and indexable.
Deepthisree Nagar,MIYAPUR | CHANDANAGAR,,west,Published,true,true,true,,https://turbofix.in/locations/deepthisree-nagar,Live page — verified and indexable.
Dhoolpet,NAMPALLY,,central,Published,true,true,true,,https://turbofix.in/locations/dhoolpet,Live page — verified and indexable. Multiple spellings seen in the supplied list: Dhoolpet / Doolpet.
Dilsukhnagar,KOTHAPET | DILSUKHNAGAR,,east,Published,true,true,true,,https://turbofix.in/locations/dilsukhnagar,Live page — verified and indexable.
Domalguda,HIMAYATNAGAR / BASHEERBAGH,,central,Published,true,true,true,,https://turbofix.in/locations/domalguda,Live page — verified and indexable.
Doodh Bowli,OLD CITY / FALAKNUMA | OLD CITY / BAHADURPURA,,south,Published,true,true,true,,https://turbofix.in/locations/doodh-bowli,Live page — verified and indexable.
Doolapally,ADDITIONAL LOCALITIES,,north,Published,true,true,true,,https://turbofix.in/locations/doolapally,Live page — verified and indexable.
Dundigal,BACHUPALLY | ADDITIONAL LOCALITIES,,outskirts,Published,true,true,true,,https://turbofix.in/locations/dundigal,Live page — verified and indexable.
Dwarakapuri Colony,KHAIRATABAD,,central,Published,true,true,true,,https://turbofix.in/locations/dwarakapuri-colony,Live page — verified and indexable.
ECIL,MALLAPUR | SAINIKPURI | ECIL | AS RAO NAGAR | KAPRA | EAST / NORTH-EAST / NAGARAM | EAST / NORTH-EAST / RAMPALLY,,north,Published,true,true,true,,https://turbofix.in/locations/ecil,Live page — verified and indexable.
Edulabad,EAST / NORTH-EAST / GHATKESAR | EAST / NORTH-EAST / POCHARAM,,east,Published,true,true,true,,https://turbofix.in/locations/edulabad,Live page — verified and indexable.
Erragadda,SANATH NAGAR | ERRAGADDA,,central,Published,true,true,true,,https://turbofix.in/locations/erragadda,Live page — verified and indexable.
Errum Manzil,KHAIRATABAD | PUNJAGUTTA | SOMAJIGUDA,,central,Alias / Duplicate,true,true,true,Irrum Manzil,https://turbofix.in/locations/irrum-manzil,"Same real locality as the published ""Irrum Manzil"" page (supplied under a different name/spelling) — not a separate page, avoids duplicate content. Multiple spellings seen in the supplied list: Errum Manzil / Irrum Manzil."
Falaknuma,OLD CITY / FALAKNUMA | OLD CITY / BAHADURPURA,,south,Published,true,true,true,,https://turbofix.in/locations/falaknuma,Live page — verified and indexable.
Fathenagar,SANATH NAGAR | BOWENPALLY,,central,Published,true,true,true,,https://turbofix.in/locations/fathenagar,Live page — verified and indexable. Multiple spellings seen in the supplied list: Fathenagar / Fateh Nagar.
Ferozguda,BOWENPALLY,,north,Published,true,true,true,,https://turbofix.in/locations/ferozguda,Live page — verified and indexable.
Film Nagar,BANJARA HILLS | JUBILEE HILLS | YOUSUFGUDA | SHAIKPET,,central,Published,true,true,true,,https://turbofix.in/locations/film-nagar,Live page — verified and indexable.
Financial District,GACHIBOWLI | FINANCIAL DISTRICT | NANAKRAMGUDA,,west,Published,true,true,true,,https://turbofix.in/locations/financial-district,Live page — verified and indexable.
Gachibowli,GACHIBOWLI | FINANCIAL DISTRICT | NANAKRAMGUDA | RAIDURG | OSMAN NAGAR | LINGAMPALLY,,west,Published,true,true,true,,https://turbofix.in/locations/gachibowli,Live page — verified and indexable.
Gaddiannaram,KOTHAPET | DILSUKHNAGAR | SAROORNAGAR,,east,Published,true,true,true,,https://turbofix.in/locations/gaddiannaram,Live page — verified and indexable.
Gaganpahad,BATCH 13 — MISSING MASTER-LIST ADDITIONS,,south,Published,true,true,true,,https://turbofix.in/locations/gaganpahad,Live page — verified and indexable.
Gajularamaram,ADDITIONAL LOCALITIES,,west,Published,true,true,true,,https://turbofix.in/locations/gajularamaram,Live page — verified and indexable.
Gandipet,NARSINGI,,west,Published,true,true,true,,https://turbofix.in/locations/gandipet,Live page — verified and indexable.
Gangaram,HAFEEZPET | CHANDANAGAR,,west,Published,true,true,true,,https://turbofix.in/locations/gangaram,Live page — verified and indexable.
Gautam Nagar,MALKAJGIRI,,north,Published,true,true,true,,https://turbofix.in/locations/gautam-nagar,Live page — verified and indexable.
Gayatri Hills,JUBILEE HILLS,,central,Published,true,true,true,,https://turbofix.in/locations/gayatri-hills,Live page — verified and indexable.
Ghansi Bazaar,OLD CITY / CHARMINAR,,south,Published,true,true,true,,https://turbofix.in/locations/ghansi-bazaar,Live page — verified and indexable.
Ghatkesar,EAST / NORTH-EAST / GHATKESAR | EAST / NORTH-EAST / POCHARAM,,east,Published,true,true,true,,https://turbofix.in/locations/ghatkesar,Live page — verified and indexable.
Golconda,LANGER HOUZ,,south,Published,true,true,true,,https://turbofix.in/locations/golconda,Live page — verified and indexable.
Gollapally,AIRPORT / SOUTH / SHAMSHABAD,,south,Published,true,true,true,,https://turbofix.in/locations/gollapally,Live page — verified and indexable.
Golnaka,ADDITIONAL LOCALITIES,,north,Published,true,true,true,,https://turbofix.in/locations/golnaka,Live page — verified and indexable.
Gopanapally,TELLAPUR | ADDITIONAL LOCALITIES,,west,Published,true,true,true,,https://turbofix.in/locations/gopanapally,Live page — verified and indexable.
Gosha Mahal,NAMPALLY,,central,Published,true,true,true,,https://turbofix.in/locations/gosha-mahal,Live page — verified and indexable.
Gowlidoddi,GACHIBOWLI | FINANCIAL DISTRICT | ADDITIONAL LOCALITIES,,west,Published,true,true,true,,https://turbofix.in/locations/gowlidoddi,Live page — verified and indexable.
Gowlipura,OLD CITY / SANTOSHNAGAR,,south,Published,true,true,true,,https://turbofix.in/locations/gowlipura,Live page — verified and indexable.
Gudimalkapur,MEHDIPATNAM / SOUTH-CENTRAL,,south,Published,true,true,true,,https://turbofix.in/locations/gudimalkapur,Live page — verified and indexable.
Gundlapochampally,KOMPALLY | MEDCHAL | ADDITIONAL LOCALITIES,,north,Published,true,true,true,,https://turbofix.in/locations/gundlapochampally,Live page — verified and indexable.
Habsiguda,TARNAKA | HABSIGUDA | RAMANTHAPUR,,north,Published,true,true,true,,https://turbofix.in/locations/habsiguda,Live page — verified and indexable.
Hafeezpet,KONDAPUR | MIYAPUR | HAFEEZPET | AMEENPUR,,west,Published,true,true,true,,https://turbofix.in/locations/hafeezpet,Live page — verified and indexable.
Hanuman Nagar,KONDAPUR,,west,Published,true,true,true,,https://turbofix.in/locations/hanuman-nagar,Live page — verified and indexable.
Hasmathpet,BOWENPALLY,,north,Published,true,true,true,,https://turbofix.in/locations/hasmathpet,Live page — verified and indexable.
Hasthinapuram,LB NAGAR / EAST / SOUTH-EAST | VANASTHALIPURAM | HASTHINAPURAM | BN REDDY NAGAR | CHINTALKUNTA,,east,Published,true,true,true,,https://turbofix.in/locations/hasthinapuram,Live page — verified and indexable.
Hayathnagar,MANSOORABAD | VANASTHALIPURAM | HASTHINAPURAM | BN REDDY NAGAR | HAYATHNAGAR | CHINTALKUNTA,,east,Published,true,true,true,,https://turbofix.in/locations/hayathnagar,Live page — verified and indexable.
Himayatnagar,HIMAYATNAGAR / BASHEERBAGH,,central,Published,true,true,true,,https://turbofix.in/locations/himayatnagar,Live page — verified and indexable.
HITEC City,WEST HYDERABAD / IT CORRIDOR,,west,Published,true,true,true,,https://turbofix.in/locations/hitech-city,Live page — verified and indexable.
HMT Nagar,NACHARAM | MALLAPUR,,north,Published,true,true,true,,https://turbofix.in/locations/hmt-nagar,Live page — verified and indexable.
Humayun Nagar,MEHDIPATNAM / SOUTH-CENTRAL | TOLICHOWKI,,south,Published,true,true,true,,https://turbofix.in/locations/humayun-nagar,Live page — verified and indexable.
Hussaini Alam,OLD CITY / CHARMINAR | OLD CITY / SHAHALIBANDA | OLD CITY / MOGHALPURA | OLD CITY / HUSSAINI ALAM | OLD CITY / YAKUTPURA,,south,Published,true,true,true,,https://turbofix.in/locations/hussaini-alam,Live page — verified and indexable.
Hyder Nagar,KUKATPALLY / NORTHWEST | NIZAMPET | PRAGATHI NAGAR,,west,Published,true,true,true,,https://turbofix.in/locations/hyder-nagar,Live page — verified and indexable.
Hyderguda,HIMAYATNAGAR / BASHEERBAGH | ATTAPUR,,central,Published,true,true,true,,https://turbofix.in/locations/hyderguda,Live page — verified and indexable.
Ibrahim Bagh,LANGER HOUZ,,south,Published,true,true,true,,https://turbofix.in/locations/ibrahim-bagh,Live page — verified and indexable.
Ibrahimpatnam,AIRPORT / SOUTH / IBRAHIMPATNAM,,outskirts,Published,true,true,true,,https://turbofix.in/locations/ibrahimpatnam,Live page — verified and indexable.
Image Gardens,WEST HYDERABAD / IT CORRIDOR,,west,Published,true,true,true,,https://turbofix.in/locations/image-gardens,Live page — verified and indexable.
Indira Nagar,GACHIBOWLI,,west,Published,true,true,true,,https://turbofix.in/locations/indira-nagar,Live page — verified and indexable.
Isnapur,PATANCHERU,,west,Published,true,true,true,,https://turbofix.in/locations/isnapur,Live page — verified and indexable.
Jahanuma,OLD CITY / FALAKNUMA,,south,Published,true,true,true,,https://turbofix.in/locations/jahanuma,Live page — verified and indexable.
Jambagh,CENTRAL HYDERABAD,,central,Published,true,true,true,,https://turbofix.in/locations/jambagh,Live page — verified and indexable.
Jangammet,OLD CITY / CHANDRAYANGUTTA | OLD CITY / BARKAS,,south,Published,true,true,true,,https://turbofix.in/locations/jangammet,Live page — verified and indexable.
Jeedimetla,KOMPALLY | SUCHITRA | ADDITIONAL LOCALITIES,,west,Published,true,true,true,,https://turbofix.in/locations/jeedimetla,Live page — verified and indexable.
Jillelaguda,MEERPET | JILLELAGUDA | BADANGPET,,south,Published,true,true,true,,https://turbofix.in/locations/jillelaguda,Live page — verified and indexable.
Jubilee Hills,JUBILEE HILLS,,central,Published,true,true,true,,https://turbofix.in/locations/jubilee-hills,Live page — verified and indexable.
Kachiguda,BATCH 13 — MISSING MASTER-LIST ADDITIONS,,central,Published,true,true,true,,https://turbofix.in/locations/kachiguda,Live page — verified and indexable.
Kalapather,OLD CITY / SHAHALIBANDA | OLD CITY / BAHADURPURA,,south,Alias / Duplicate,true,true,true,Kalapathar,https://turbofix.in/locations/kalapathar,"Same real locality as the published ""Kalapathar"" page (supplied under a different name/spelling) — not a separate page, avoids duplicate content. Multiple spellings seen in the supplied list: Kalapather / Kalapathar."
Kamalanagar,ECIL | AS RAO NAGAR | KAPRA,,north,Published,true,true,true,,https://turbofix.in/locations/kamalanagar,Live page — verified and indexable.
Kanajiguda,ALWAL,,north,Published,true,true,true,,https://turbofix.in/locations/kanajiguda,Live page — verified and indexable.
Kanchanbagh,OLD CITY / CHANDRAYANGUTTA | OLD CITY / BARKAS | OLD CITY / KANCHANBAGH,,south,Published,true,true,true,,https://turbofix.in/locations/kanchanbagh,Live page — verified and indexable.
Kandlakoya,MEDCHAL | ADDITIONAL LOCALITIES,,north,Published,true,true,true,,https://turbofix.in/locations/kandlakoya,Live page — verified and indexable.
Kapra,MALLAPUR | SAINIKPURI | ECIL | AS RAO NAGAR | KAPRA | EAST / NORTH-EAST / NAGARAM | EAST / NORTH-EAST / JAWAHAR NAGAR,,north,Published,true,true,true,,https://turbofix.in/locations/kapra,Live page — verified and indexable.
Karkhana,SECUNDERABAD / NORTH | TRIMULGHERRY,,north,Published,true,true,true,,https://turbofix.in/locations/karkhana,Live page — verified and indexable.
Karmanghat,MEERPET | JILLELAGUDA,,east,Published,true,true,true,,https://turbofix.in/locations/karmanghat,Live page — verified and indexable.
Karwan,BATCH 13 — MISSING MASTER-LIST ADDITIONS,,south,Published,true,true,true,,https://turbofix.in/locations/karwan,Live page — verified and indexable.
Kavadiguda,SECUNDERABAD / NORTH | ADDITIONAL LOCALITIES,,central,Published,true,true,true,,https://turbofix.in/locations/kavadiguda,Live page — verified and indexable.
Kavuri Hills,JUBILEE HILLS | WEST HYDERABAD / IT CORRIDOR | MADHAPUR,,west,Published,true,true,true,,https://turbofix.in/locations/kavuri-hills,Live page — verified and indexable.
Keesara,EAST / NORTH-EAST / KEESARA | EAST / NORTH-EAST / DAMMAIGUDA | EAST / NORTH-EAST / NAGARAM | EAST / NORTH-EAST / RAMPALLY | EAST / NORTH-EAST / JAWAHAR NAGAR,,outskirts,Published,true,true,true,,https://turbofix.in/locations/keesara,Live page — verified and indexable.
Khairatabad,LAKDICAPUL / SAIFABAD | KHAIRATABAD | PUNJAGUTTA | SOMAJIGUDA,,central,Published,true,true,true,,https://turbofix.in/locations/khairatabad,Live page — verified and indexable.
Khajaguda,GACHIBOWLI | NANAKRAMGUDA | MANIKONDA | PUPPALAGUDA | KOKAPET | SHAIKPET | ADDITIONAL LOCALITIES,,west,Published,true,true,true,,https://turbofix.in/locations/khajaguda,Live page — verified and indexable.
King Koti,CENTRAL HYDERABAD | HIMAYATNAGAR / BASHEERBAGH,,central,Published,true,true,true,,https://turbofix.in/locations/king-koti,Live page — verified and indexable.
Kishan Bagh,ATTAPUR | RAJENDRANAGAR | OLD CITY / FALAKNUMA | OLD CITY / BAHADURPURA,,south,Published,true,true,true,,https://turbofix.in/locations/kishan-bagh,Live page — verified and indexable.
Kismatpur,BATCH 13 — MISSING MASTER-LIST ADDITIONS,,south,Published,true,true,true,,https://turbofix.in/locations/kismatpur,Live page — verified and indexable.
Kokapet,GACHIBOWLI | FINANCIAL DISTRICT | KOKAPET,,west,Published,true,true,true,,https://turbofix.in/locations/kokapet,Live page — verified and indexable.
Kollur,OSMAN NAGAR | KOLLUR,,west,Published,true,true,true,,https://turbofix.in/locations/kollur,Live page — verified and indexable.
Kompally,KOMPALLY | SUCHITRA | MEDCHAL,,north,Published,true,true,true,,https://turbofix.in/locations/kompally,Live page — verified and indexable.
Kondapur,WEST HYDERABAD / IT CORRIDOR | KONDAPUR | HAFEEZPET,,west,Published,true,true,true,,https://turbofix.in/locations/kondapur,Live page — verified and indexable.
Kongara Kalan,AIRPORT / SOUTH / ADIBATLA | AIRPORT / SOUTH / KONGARA KALAN | AIRPORT / SOUTH / TUKKUGUDA | AIRPORT / SOUTH / MAHESHWARAM,,outskirts,Published,true,true,true,,https://turbofix.in/locations/kongara-kalan,Live page — verified and indexable.
Kothaguda,MADHAPUR | KONDAPUR,,west,Published,true,true,true,,https://turbofix.in/locations/kothaguda,Live page — verified and indexable.
